checkpoint,temperature,top_p,seed,chrf,seconds
5-3e-06-sonnet.pt,1.2,0.85,1,40.2948,17.2
5-3e-06-sonnet.pt,0.6,0.9,1,34.4897,17.1
5-3e-06-sonnet.pt,2,0.9,1,37.5610,19.9
5-3e-06-sonnet.pt,1,0.5,1,37.0159,14.8
10-0.001-sonnet.pt,0.9,0.9,1,40.6078,25.9
10-0.001-sonnet.pt,1,0.9,1,40.0772,20.0
10-0.001-sonnet.pt,1.1,0.9,1,41.2100,20.6
10-0.001-sonnet.pt,1.2,0.9,1,41.3566,21.0
10-0.001-sonnet.pt,1.4,0.9,1,41.0927,19.6
10-0.001-sonnet.pt,1.1,0.85,1,40.6806,19.0
10-0.001-sonnet.pt,1.1,0.95,1,41.4441,19.9
10-0.001-sonnet.pt,1.1,1,1,41.0564,18.7
10-0.001-sonnet.pt,0.9,0.95,1,41.1166,20.1
10-0.001-sonnet.pt,1.2,0.85,1,40.6008,18.5
10-0.001-sonnet.pt,0.6,0.9,1,41.5315,19.4
10-0.001-sonnet.pt,2,0.9,1,41.6282,19.3
10-0.001-sonnet.pt,1,0.5,1,40.9110,19.0
10-0.0003-sonnet.pt,0.9,0.9,1,40.1188,23.1
10-0.0003-sonnet.pt,1,0.9,1,40.4827,18.1
10-0.0003-sonnet.pt,1.1,0.9,1,41.6105,18.8
10-0.0003-sonnet.pt,1.2,0.9,1,41.3434,17.8
10-0.0003-sonnet.pt,1.4,0.9,1,40.9039,18.5
10-0.0003-sonnet.pt,1.1,0.85,1,41.2272,18.8
10-0.0003-sonnet.pt,1.1,0.95,1,40.9514,17.7
10-0.0003-sonnet.pt,1.1,1,1,41.3562,18.3
10-0.0003-sonnet.pt,0.9,0.95,1,40.3477,18.6
10-0.0003-sonnet.pt,1.2,0.85,1,41.4885,19.3
10-0.0003-sonnet.pt,0.6,0.9,1,40.2078,18.2
10-0.0003-sonnet.pt,2,0.9,1,41.2127,19.8
10-0.0003-sonnet.pt,1,0.5,1,40.7190,18.9
10-0.0001-sonnet.pt,0.9,0.9,1,41.0788,23.4
10-0.0001-sonnet.pt,1,0.9,1,40.7895,18.5
10-0.0001-sonnet.pt,1.1,0.9,1,41.2901,18.3
10-0.0001-sonnet.pt,1.2,0.9,1,42.0218,19.3
10-0.0001-sonnet.pt,1.4,0.9,1,41.9135,19.2
10-0.0001-sonnet.pt,1.1,0.85,1,41.6933,19.7
10-0.0001-sonnet.pt,1.1,0.95,1,42.3614,18.4
10-0.0001-sonnet.pt,1.1,1,1,41.0307,18.4
10-0.0001-sonnet.pt,0.9,0.95,1,41.0509,18.4
10-0.0001-sonnet.pt,1.2,0.85,1,41.6153,18.1
10-0.0001-sonnet.pt,0.6,0.9,1,41.3695,17.9
10-0.0001-sonnet.pt,2,0.9,1,40.3059,18.8
10-0.0001-sonnet.pt,1,0.5,1,40.6724,17.8
5-0.003-sonnet.pt,0.9,0.9,2,41.2221,22.8
5-0.003-sonnet.pt,1,0.9,2,41.4301,17.4
5-0.003-sonnet.pt,1.1,0.9,2,40.2246,17.1
5-0.003-sonnet.pt,1.2,0.9,2,41.6072,18.2
5-0.003-sonnet.pt,1.4,0.9,2,41.3141,18.4
5-0.003-sonnet.pt,1.1,0.85,2,41.2261,18.7
5-0.003-sonnet.pt,1.1,0.95,2,41.4505,19.1
5-0.003-sonnet.pt,1.1,1,2,40.4004,17.7
5-0.003-sonnet.pt,0.9,0.95,2,40.6418,17.1
5-0.003-sonnet.pt,1.2,0.85,2,41.3772,18.0
5-0.003-sonnet.pt,0.6,0.9,2,39.8379,18.2
5-0.003-sonnet.pt,2,0.9,2,37.0725,14.5
5-0.003-sonnet.pt,1,0.5,2,41.4658,18.7
5-0.001-sonnet.pt,0.9,0.9,2,40.6190,23.9
5-0.001-sonnet.pt,1,0.9,2,41.0863,18.6
5-0.001-sonnet.pt,1.1,0.9,2,41.3005,19.4
5-0.001-sonnet.pt,1.2,0.9,2,41.3902,20.7
5-0.001-sonnet.pt,1.4,0.9,2,41.3370,19.0
5-0.001-sonnet.pt,1.1,0.85,2,41.6047,19.4
5-0.001-sonnet.pt,1.1,0.95,2,41.5949,19.4
5-0.001-sonnet.pt,1.1,1,2,41.2854,19.0
5-0.001-sonnet.pt,0.9,0.95,2,41.1943,19.0
5-0.001-sonnet.pt,1.2,0.85,2,41.0565,19.1
5-0.001-sonnet.pt,0.6,0.9,2,39.6204,19.0
5-0.001-sonnet.pt,2,0.9,2,38.3153,16.4
5-0.001-sonnet.pt,1,0.5,2,39.8078,19.0
5-0.0003-sonnet.pt,0.9,0.9,2,40.7351,24.4
5-0.0003-sonnet.pt,1,0.9,2,41.2632,19.3
5-0.0003-sonnet.pt,1.1,0.9,2,42.5147,19.7
5-0.0003-sonnet.pt,1.2,0.9,2,41.8237,19.1
5-0.0003-sonnet.pt,1.4,0.9,2,41.6360,24.0
5-0.0003-sonnet.pt,1.1,0.85,2,42.2359,19.1
5-0.0003-sonnet.pt,1.1,0.95,2,41.3854,18.4
5-0.0003-sonnet.pt,1.1,1,2,41.8261,19.6
5-0.0003-sonnet.pt,0.9,0.95,2,40.6784,19.2
5-0.0003-sonnet.pt,1.2,0.85,2,41.5617,19.4
5-0.0003-sonnet.pt,0.6,0.9,2,40.5046,18.6
5-0.0003-sonnet.pt,2,0.9,2,39.7751,18.6
5-0.0003-sonnet.pt,1,0.5,2,38.5624,18.7
5-0.0001-sonnet.pt,0.9,0.9,2,41.3883,23.2
5-0.0001-sonnet.pt,1,0.9,2,42.0755,18.5
5-0.0001-sonnet.pt,1.1,0.9,2,42.0084,18.6
5-0.0001-sonnet.pt,1.2,0.9,2,42.4488,17.9
5-0.0001-sonnet.pt,1.4,0.9,2,41.2581,18.8
5-0.0001-sonnet.pt,1.1,0.85,2,42.0487,18.9
5-0.0001-sonnet.pt,1.1,0.95,2,41.4215,17.8
5-0.0001-sonnet.pt,1.1,1,2,42.4816,18.7
5-0.0001-sonnet.pt,0.9,0.95,2,42.0908,19.1
5-0.0001-sonnet.pt,1.2,0.85,2,41.9894,18.6
5-0.0001-sonnet.pt,0.6,0.9,2,38.9581,17.5
5-0.0001-sonnet.pt,2,0.9,2,40.0025,18.6
5-0.0001-sonnet.pt,1,0.5,2,39.9774,17.2
5-3e-05-sonnet.pt,0.9,0.9,2,41.6716,23.4
5-3e-05-sonnet.pt,1,0.9,2,42.0529,18.1
5-3e-05-sonnet.pt,1.1,0.9,2,42.3224,18.3
5-3e-05-sonnet.pt,1.2,0.9,2,41.5954,18.0
5-3e-05-sonnet.pt,1.4,0.9,2,41.2848,19.2
5-3e-05-sonnet.pt,1.1,0.85,2,41.5353,18.8
5-3e-05-sonnet.pt,1.1,0.95,2,42.2546,19.1
5-3e-05-sonnet.pt,1.1,1,2,41.8125,19.3
5-3e-05-sonnet.pt,0.9,0.95,2,40.7073,17.6
5-3e-05-sonnet.pt,1.2,0.85,2,41.8363,18.4
5-3e-05-sonnet.pt,0.6,0.9,2,37.5772,16.7
